"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DUSP12",1.08984585858586,5.07598202247191,21.5210165919776,5.54805873411703e-71,3.02682585080134e-69,150.983549447467
"DESI2",1.39196565656566,6.83274831460674,21.5145127747945,5.94330959782242e-71,3.22895057691694e-69,150.914925576802
"GMFB",1.49229818181818,4.94311460674157,21.4985364581375,7.03794642735272e-71,3.8077918450727e-69,150.746352436413
"INTS8",1.2220698989899,7.02475505617978,21.4975140188329,7.11450219807415e-71,3.83330554383012e-69,150.735564140596
"MCM2",1.64792737373737,5.09048988764045,21.4676825876316,9.75517951216743e-71,5.23447677609675e-69,150.420792427615
"MAPK9",1.27711717171717,5.8298606741573,21.4619685512927,1.0363218432921e-70,5.53795103060887e-69,150.36049876589
"TTK",1.68810949494949,4.21381123595506,21.425324149911,1.52721686130058e-70,8.12791047122379e-69,149.973825429336
"C1R",-1.82381121212121,10.4349528089888,-21.4054895990679,1.88389323784112e-70,9.98539997081721e-69,149.76452554182
"AKR1D1",-3.40910373737374,8.89556404494382,-21.3664893813958,2.84641140511486e-70,1.49654670610051e-68,149.35297495286
"IGFBP3",-1.97135363636364,10.0981617977528,-21.3649123688597,2.89431361433444e-70,1.5156206914581e-68,149.336333257799
"EEF1E1",1.24456282828283,6.27674606741573,21.2909851605244,6.32881374348225e-70,3.27465882544703e-68,148.556185383368
"DDX39A",1.3828105050505,7.20030112359551,21.2712408103191,7.79959274313802e-70,4.01971896354848e-68,148.347819446556
"ZFP36",-1.47144818181818,8.95677752808989,-21.2479489335713,9.97994222617084e-70,5.12316797980479e-68,148.102013303572
"RNF125",-1.68125363636364,5.77334157303371,-21.2449617721798,1.03004918425924e-69,5.26698482884561e-68,148.070488716051
"NPY1R",-1.29630555555556,4.21131460674157,-21.2238807115264,1.28751918238987e-69,6.55779789811777e-68,147.848011639507
"ALDH2",-1.49773363636364,11.1977325842697,-21.2094810784573,1.49947714456351e-69,7.60765855562788e-68,147.69604540824
"MAT1A",-1.85183454545454,10.2292337078652,-21.2030095266014,1.60577861479501e-69,8.11540595283417e-68,147.627747776765
"RBM12",1.32485292929293,6.00248764044944,21.1926750327463,1.79137808663564e-69,9.01844744078844e-68,147.518682231667
"SLBP",1.27055535353536,7.02582471910112,21.1248333739676,3.67298714073787e-69,1.84200305108004e-67,146.802705136797
"ETFDH",-1.70027262626262,6.4947797752809,-21.0846486412,5.61991444079563e-69,2.80758867408177e-67,146.378605758212
"NUP155",1.09669191919192,4.55017078651685,21.0801459438283,5.89422289918337e-69,2.93338825887221e-67,146.331085357137
"SLC23A2",-1.57792606060606,7.78484494382023,-21.0391785200995,9.09359396786939e-69,4.50841717669388e-67,145.898724712061
"SPATA6L",-1.01667242424243,4.26141123595506,-21.033243167464,9.68317467333717e-69,4.78253464263801e-67,145.836084415954
"FOXM1",1.18193777777778,4.26640898876405,21.028293117533,1.02040122587309e-68,5.02075908836196e-67,145.783842787095
"GARS1",1.09323515151515,8.03137752808989,21.0182034447518,1.13539967616082e-68,5.56559262310562e-67,145.677358884715
"HAAO",-1.54788868686869,6.35415056179775,-21.0119641457839,1.21290861043846e-68,5.92326418408503e-67,145.611510922285
"LYRM4",1.16958212121212,5.71176629213483,21.0003107335762,1.37212498167494e-68,6.67579762539536e-67,145.488523922603
"CSE1L",1.27453070707071,6.05514382022472,20.9885832877858,1.55345803469875e-68,7.52994026558997e-67,145.364755791215
"CSAD",-1.49098171717172,7.82251011235955,-20.9781094147653,1.73557432828277e-68,8.38153839499224e-67,145.254217711143
"CCNB2",1.41199444444444,4.6825797752809,20.963526377768,2.02523207376453e-68,9.74428081543017e-67,145.100313129531
"C1RL",-1.53915949494949,8.62095056179775,-20.9447931181382,2.46935113389243e-68,1.18374519980968e-66,144.902609202605
"GCH1",-1.6498598989899,8.99189662921348,-20.9443247569858,2.48162230375352e-68,1.18527008126894e-66,144.897666303299
"CACYBP",1.30779090909091,8.10005168539326,20.9339644406131,2.76921767714475e-68,1.31301197426511e-66,144.78832776297
"GLYAT",-2.77458383838384,7.45339325842697,-20.9092482220815,3.59720569532958e-68,1.69941902396386e-66,144.527484281337
"SIGIRR",-1.46406505050505,6.62126966292135,-20.868207593687,5.5540134087764e-68,2.61439642010959e-66,144.094365687903
"SLC27A5",-2.61689474747475,8.66451460674157,-20.8356286970434,7.84065972414961e-68,3.65122721939953e-66,143.750552738103
"RFC3",1.38981636363636,5.7061797752809,20.8200000035331,9.2509774651749e-68,4.2774289066814e-66,143.585621376682
"COG2",1.05402909090909,5.30342696629214,20.8166743811205,9.58237794034987e-68,4.41500445103258e-66,143.550525890534
"MASP2",-2.26503767676768,7.47465168539326,-20.8006210818157,1.13568863484824e-67,5.19587512624079e-66,143.381115432507
"PUS7",1.25842393939394,5.50840449438202,20.7957955442498,1.19519520465754e-67,5.44900359214325e-66,143.33019185206
"GGT5",-1.05516080808081,4.39552808988764,-20.7688728147219,1.58921407573752e-67,7.19505636581304e-66,143.046080896956
"CDK4",1.27930626262626,7.14165842696629,20.7427519256259,2.09526342287582e-67,9.45333556085737e-66,142.770436560285
"C9",-3.74755969696969,9.03135280898876,-20.7326214620516,2.33238100928472e-67,1.04868675793322e-65,142.663534830298
"LY6E",-2.0103,6.78145617977528,-20.7226782225656,2.59119172259812e-67,1.16104978937996e-65,142.558609584388
"OGDHL",-2.13215656565657,7.35178876404494,-20.6819025325996,3.98937603223397e-67,1.7814203453527e-65,142.128336183236
"TTC13",1.20286707070707,5.88197303370787,20.671504342431,4.45342565416316e-67,1.97510942532767e-65,142.018614767738
"TMEM106C",1.20956464646465,7.33796853932584,20.6707254640668,4.49028443120922e-67,1.98470571859448e-65,142.010396106061
"KAZN",-1.0585602020202,4.99978202247191,-20.668391713179,4.60256062627712e-67,2.02745905425768e-65,141.985770589814
"CDC37L1",-1.54096,6.21626292134831,-20.6617375611697,4.93834202665581e-67,2.16804854160152e-65,141.915556903673
"HMGB2",1.75210595959596,7.45812808988764,20.6459437206649,5.8366947977557e-67,2.55384776738042e-65,141.748904250545
"ABCA8",-2.94043565656566,7.85666741573034,-20.6271454042423,7.12130442495838e-67,3.10550797314489e-65,141.550552450256
"LAPTM4B",2.31644767676768,7.15589213483146,20.6186911870648,7.7877612390238e-67,3.38482062652104e-65,141.461348386181
"CDKN2C",1.65709808080808,5.16104494382023,20.6113171658579,8.41978868320092e-67,3.64736294485903e-65,141.38354256841
"GHR",-2.70910070707071,8.77796179775281,-20.6026720790346,9.2263695806237e-67,3.98353089277326e-65,141.292326072264
"KMO",-2.31749808080808,7.24484494382023,-20.6003423535962,9.45665086486037e-67,4.06948087877605e-65,141.267744694349
"VBP1",1.23665343434344,7.62186966292135,20.5441789689625,1.71330456386506e-66,7.34861125270938e-65,140.675173545357
"NR1I2",-2.42109393939394,7.57987865168539,-20.531010506756,1.9694618964747e-66,8.39209596997832e-65,140.536240829393
"MTHFD1",-1.57321353535354,9.94376404494382,-20.5028062881333,2.6543076496519e-66,1.12734584507528e-64,140.238682424339
"CXCL2",-2.71386444444445,9.62912134831461,-20.46203715937,4.08587530524263e-66,1.72413359563297e-64,139.808582156665
"TYMS",1.98888141414141,7.04535056179775,20.4585706626368,4.23850970481797e-66,1.77703948685278e-64,139.772012930948
"FDPS",1.46118090909091,8.85765842696629,20.4484056029879,4.71975876881362e-66,1.97246585213336e-64,139.664779385159
"UBA2",1.10105464646464,8.27505393258427,20.4090664492855,7.15599424214015e-66,2.96212726740525e-64,139.249796773173
"H2AZ1",1.41105393939394,7.38462696629214,20.3976918587523,8.07105881987876e-66,3.33033341621516e-64,139.129812625912
"LHX2",-1.09570121212121,4.13614831460674,-20.3807247205075,9.65793670715167e-66,3.97255005440223e-64,138.950839852629
"CDC23",1.0325897979798,6.08495505617978,20.3608182197322,1.19217564874563e-65,4.88829505785983e-64,138.74086836916
"ANXA2",1.80543585858585,9.26484719101124,20.3584612315025,1.22227437322235e-65,4.99599860578251e-64,138.716007585668
"PRMT3",1.12349707070707,5.07129213483146,20.3327745046367,1.60389473557419e-65,6.53536983035994e-64,138.445078362059
"CSTB",1.32848939393939,9.27348539325843,20.3195545651457,1.84462268243354e-65,7.49284584306881e-64,138.305646523984
"LMNA",1.12843363636363,7.34844269662921,20.3170213763112,1.89471862506624e-65,7.64867992329371e-64,138.278929134582
"PLVAP",1.52433757575757,5.37694157303371,20.2993645786077,2.28379254610786e-65,9.16257569498473e-64,138.092707323932
"TASOR",1.04465161616162,6.27267191011236,20.2602914432051,3.45256823432089e-65,1.37669838554465e-63,137.680634294374
"ACSM3",-1.98489141414141,5.78671685393258,-20.2460819605573,4.01246781417812e-65,1.5950782874716e-63,137.530785862089
"NAAA",-1.24795444444445,5.43556179775281,-20.2166077711989,5.48014007384137e-65,2.16531958857023e-63,137.219974337788
"CYP3A43",-2.11731676767677,6.54970112359551,-20.2053970721856,6.1699601203797e-65,2.42319608462744e-63,137.101760010872
"ALDH6A1",-1.25610494949495,4.60741348314607,-20.1962639225699,6.79563501819894e-65,2.66090945952841e-63,137.005454997969
"FABP5",2.11520111111111,5.35803370786517,20.1674053270511,9.22082578569852e-65,3.5889655946186e-63,136.701166053998
"RCN2",1.38443878787879,5.87385168539326,20.1641225641563,9.54654387731072e-65,3.70468409572186e-63,136.666553345766
"SKAP1",-1.22796505050505,5.38694606741573,-20.1600901621148,9.96242738156051e-65,3.85460209579132e-63,136.624036949378
"NDC80",1.32466282828283,4.23794606741573,20.1546515763444,1.05521725606089e-64,4.07070349165029e-63,136.566694779641
"NPC1",1.2740902020202,6.41434382022472,20.148195415157,1.1297736738492e-64,4.34546281218871e-63,136.498624608788
"LBR",1.23915767676768,8.46284494382022,20.1387938529147,1.24786294929581e-64,4.78555441054945e-63,136.399501506071
"DNAJC9",1.25055676767677,6.81404943820225,20.1384311816646,1.25265764429789e-64,4.78985425923758e-63,136.395677810804
"MCM4",1.27519262626263,5.48449213483146,20.0834824231219,2.23954405367659e-64,8.53842541400265e-63,135.816381671629
"RPS6KC1",1.18196767676768,5.39447865168539,20.0709989087835,2.55552525064566e-64,9.71472120792093e-63,135.684784863421
"IER2",-1.1660501010101,8.82287865168539,-20.0687961048036,2.61574030428359e-64,9.91472029870748e-63,135.661564089496
"PLAC8",-1.77027424242424,5.05945842696629,-20.027995543864,4.0264847803107e-64,1.52177782754989e-62,135.231489176627
"XPOT",1.28535696969697,7.40903595505618,20.0209611850145,4.33732271817986e-64,1.6345188127846e-62,135.157345074307
"PBLD",-2.01936898989899,10.0071752808989,-20.0206620092901,4.35106208529548e-64,1.63497113919792e-62,135.154191708109
"RAD51AP1",1.37238080808081,4.19696404494382,20.0188967859653,4.43301869412394e-64,1.66098076875523e-62,135.135585984101
"FOSB",-2.47964707070707,5.43476404494382,-19.9836508841159,6.43441365240299e-64,2.39026551605933e-62,134.764106483979
"NAT1",-1.42225828282829,6.16270337078652,-19.9762478933634,6.95814298828439e-64,2.57747802341591e-62,134.686085894703
"TNS2",-1.04660727272727,6.84914382022472,-19.9655468019174,7.79142585126431e-64,2.8779717188282e-62,134.573309129119
"MAD2L1",1.52369262626263,4.19903820224719,19.9307097775897,1.12597211425007e-63,4.135647999354e-62,134.206190993045
"AKR7A3",-2.21803272727273,7.67979550561798,-19.9185536011401,1.2803363605626e-63,4.68941174308307e-62,134.078095563379
"PRKAG2",-1.11365888888889,4.08856404494382,-19.8914459846632,1.70506339847007e-63,6.22754107917404e-62,133.792465515425
"RFC1",1.01059060606061,6.35939550561798,19.879836750955,1.92761752152328e-63,7.02072761540282e-62,133.670147059631
"TXNRD1",1.73489474747475,8.37493033707865,19.860436768222,2.36620743009179e-63,8.57027185582414e-62,133.465752134923
"SSR1",1.35387555555555,6.32714382022472,19.8573395107989,2.44493063520022e-63,8.83087272918993e-62,133.433121040031
"ITGB3BP",1.37645111111111,5.68365842696629,19.8477705318462,2.70507351341342e-63,9.74349545342476e-62,133.332309152766
"FANCI",1.19680797979798,4.46916853932584,19.8265643462201,3.38447266179156e-63,1.21570630956199e-61,133.108906367854
"HMGCL",-1.27633303030304,8.75964943820225,-19.818047330313,3.70316100968439e-63,1.32652517596909e-61,133.019185426737
"TMEM131L",-1.22245909090909,6.54856179775281,-19.8024060404476,4.36860114072283e-63,1.56060795270918e-61,132.854421273234
"PSPH",1.56265232323232,4.80055056179775,19.7853042342535,5.23371292558464e-63,1.85946547238959e-61,132.674281366906
"GNE",-1.63006454545455,7.75871460674157,-19.7703374380877,6.13024842626753e-63,2.16618724200819e-61,132.516638349752
"FTCD",-2.23343070707071,8.3943191011236,-19.7533616122505,7.33432096983331e-63,2.58465435474747e-61,132.337843697153
"C5orf22",1.10560363636364,6.67984943820225,19.7493469732658,7.65204832688272e-63,2.68935466669067e-61,132.295561716523
"SLCO1B3",-3.52658060606061,7.72542471910112,-19.7351141499783,8.89346826751715e-63,3.10889900107657e-61,132.145666801966
"CANT1",1.02746646464646,6.54491460674157,19.7302031541819,9.36698447315352e-63,3.26567140495852e-61,132.093947614321
"TXNDC9",1.17018191919192,6.35507865168539,19.729082516527,9.47852042015892e-63,3.29574474022539e-61,132.082145957001
"FOLH1",-2.0139794949495,6.26357303370787,-19.718014698625,1.06539692786087e-62,3.69460386765368e-61,131.965590939118
"DLG5",1.47400222222222,5.91518202247191,19.6563179441957,2.0440732462249e-62,6.99545172113554e-61,131.315943734578
"NMRK1",-1.4271,7.33593258426966,-19.6365848839565,2.51764150924106e-62,8.58284173865547e-61,131.108190362411
"LYVE1",-1.40397111111111,4.90002696629213,-19.6364558581461,2.52107399793316e-62,8.58284173865547e-61,131.106832002416
"PCNA",1.38497909090909,7.95701123595506,19.630568814245,2.68276641890795e-62,9.10952899378666e-61,131.04485495536
"MCM7",1.10251121212121,6.18724494382022,19.5848121838467,4.34908867971909e-62,1.47292902064564e-60,130.563187929522
"SLC4A4",-2.25617232323232,7.25119325842697,-19.5334346170558,7.48078510299815e-62,2.5204640040825e-60,130.02244880226
"ACTL6A",1.31175535353535,5.59445617977528,19.5327349991036,7.53623418362293e-62,2.53260199794483e-60,130.015086188395
"GADD45A",-1.55162222222222,9.25247191011236,-19.5203454448831,8.58913644709377e-62,2.87163461881168e-60,129.884704760008
"CCL20",3.12976808080808,5.72430337078652,19.5164044792233,8.95395236902046e-62,2.98594846392987e-60,129.843233341347
"CLIC1",1.24102171717172,8.23490561797753,19.4759151127665,1.37278085340711e-61,4.55462838360694e-60,129.417194566126
"AFM",-2.91104111111111,8.33277528089888,-19.4569863449091,1.67630427006127e-61,5.5195281255881e-60,129.218045271542
"DLGAP5",1.31586434343434,4.14042921348315,19.4508936250277,1.78761819513055e-61,5.87122258093381e-60,129.153947117456
"DNAJC2",1.02261434343434,7.33960674157303,19.4211599548976,2.44641135585459e-61,8.01476323341407e-60,128.841158630056
"TARBP1",1.23705888888889,6.41142921348315,19.4036014407407,2.94431187667433e-61,9.62177507768335e-60,128.656467028882
"WASHC5",1.21403030303031,5.95587191011236,19.3955706418806,3.20464233095557e-61,1.04463328383324e-59,128.571998554472
"BBOX1",-2.47603939393939,5.52644269662921,-19.3864470546423,3.52842438315471e-61,1.14730986363976e-59,128.476039565151
"CETP",-1.48188767676768,4.94147640449438,-19.3688835251918,4.24665153616292e-61,1.37741515870717e-59,128.291322527779
"MPZL1",1.18238424242424,6.31414382022472,19.3579785693502,4.76435129233535e-61,1.53768258665249e-59,128.176641305263
"SMYD3",1.6902703030303,5.34526741573034,19.3283529653469,6.51195239730094e-61,2.09136323419722e-59,127.865113347147
"TACC3",1.20892454545455,4.72404943820225,19.3143173713093,7.55090007876071e-61,2.41907091221034e-59,127.717536391918
"CYP26A1",-2.07652595959596,4.9517393258427,-19.3136306298507,7.60578629063688e-61,2.4306825353827e-59,127.710315901564
"STAM",1.07384313131313,4.89761348314607,19.313385689904,7.62545888026227e-61,2.43101120635061e-59,127.707740576022
"ANP32E",1.08888323232323,4.35861348314607,19.2907973523619,9.6765182585987e-61,3.07736881887484e-59,127.470256557922
"NRAS",1.37672,4.90989438202247,19.2515816995369,1.46318662715234e-60,4.63070156102898e-59,127.058018449229
"TRIM37",1.12171292929293,6.16927640449438,19.2347073183211,1.7480867299296e-60,5.51895953306344e-59,126.880656743162
"HLTF",1.39499484848485,7.16856629213483,19.2086961484281,2.29958478362751e-60,7.22512915511304e-59,126.607288665552
"FBL",1.06395888888889,8.08500674157303,19.1675006337708,3.54996872201264e-60,1.11002499199815e-58,126.174408637181
"ACADL",-1.6581594949495,6.12238202247191,-19.1622881718556,3.75044053267142e-60,1.16990416520341e-58,126.119642608463
"TAF9",1.13128727272727,7.60047191011236,19.1552365867975,4.03977216804954e-60,1.25715010260616e-58,126.045555619386
"LONP2",-1.48649282828283,7.7375797752809,-19.1490195148345,4.31331375008349e-60,1.33907852350806e-58,125.980238533337
"COL4A1",2.02496303030303,7.77972134831461,19.1414207423538,4.67291422034198e-60,1.44727146125984e-58,125.900407930664
"EPHX2",-1.93653737373738,7.86143370786517,-19.1402504956355,4.7308968581836e-60,1.46175744393024e-58,125.888113911453
"ATIC",1.11368989898989,7.71745617977528,19.1291870425319,5.31586834695271e-60,1.63475489094143e-58,125.771890442573
"HDAC6",-1.23370424242424,7.42990786516854,-19.1277238784493,5.39846176605678e-60,1.65624806982622e-58,125.756520137466
"POLE2",1.25984353535353,4.6922404494382,19.1269884898529,5.44045645015968e-60,1.66521388858291e-58,125.74879504047
"SLC35D1",-1.46973131313131,8.43638651685393,-19.1184588515999,5.95207028447266e-60,1.81754202433815e-58,125.659195145849
"HSPA14",1.06536080808081,5.63942921348315,19.1168257321471,6.05537756658251e-60,1.84476794604368e-58,125.64204042462
"UBE2S",1.33926161616162,4.81738202247191,19.1147380730322,6.19005198780685e-60,1.88140064962735e-58,125.620111304895
"PRCC",1.16076414141414,6.08431685393258,19.1017789792733,7.09565581686875e-60,2.15163386502678e-58,125.483992035857
"PDGFRA",-2.63865050505051,6.74732359550562,-19.0992028903808,7.29087681173153e-60,2.20570168789251e-58,125.456934478642
"WDR12",1.04868101010101,7.09118651685393,19.0804178800775,8.88645127918614e-60,2.67599164501866e-58,125.259639823604
"AR",-1.75205111111111,5.94863146067416,-19.0631883247316,1.06549897964953e-59,3.20116156581801e-58,125.078698640833
"HJURP",1.07038111111111,4.77645393258427,19.0466176874336,1.26869340540405e-59,3.79414984244574e-58,124.904692672337
"RMI1",1.01105797979798,5.8194,19.0417519673799,1.33540829757365e-59,3.98452832770317e-58,124.853601307581
"GPD1",-1.26124757575758,4.95043146067416,-19.0368136125252,1.40670536766947e-59,4.18767837649366e-58,124.80174860519
"CYP2C8",-3.20794838383839,10.4396808988764,-19.011518947479,1.8361037514191e-59,5.45352091452246e-58,124.536176163492
"SLC38A6",1.23629616161616,4.35656629213483,18.9857609258374,2.40821298210232e-59,7.13652024400731e-58,124.265776092843
"ECHS1",-1.0242090909091,10.8717505617978,-18.9711283112811,2.80935247787606e-59,8.30638253039138e-58,124.112184178432
"LRRC59",1.06457282828283,8.09588988764045,18.9560068631405,3.29418043261912e-59,9.69589586025297e-58,123.953474221861
"GGPS1",1.12307444444444,4.64369662921348,18.9340391398428,4.15128271783352e-59,1.21637247995126e-57,123.722931722315
"MID1IP1",1.35847909090909,6.15411235955056,18.9248814805588,4.57137610630185e-59,1.33646127914955e-57,123.626834136023
"GNMT",-3.00719666666667,7.92195730337079,-18.9167105537137,4.98194501483893e-59,1.4532344753576e-57,123.541095209543
"ANXA2P2",1.39199888888889,7.78246966292135,18.8975587137031,6.094549954331e-59,1.77381332264558e-57,123.340147319094
"ACSM5",-2.16452323232323,7.83472359550562,-18.8783413391821,7.46061316150334e-59,2.16175411139649e-57,123.138534020704
"RPN2",1.00596292929293,9.40510112359551,18.8648704229674,8.59681529354035e-59,2.47995297815205e-57,122.997221340836
"DHRS1",-1.71547707070707,8.62229213483146,-18.8298416501755,1.24279517760063e-58,3.56934059928074e-57,122.629814557497
"C6",-2.44595282828283,10.1519595505618,-18.826787225054,1.28337936713573e-58,3.66973323861464e-57,122.597781174872
"ALDOB",-2.90494969696969,9.04194157303371,-18.7848649589766,1.99466695890456e-58,5.67870359763244e-57,122.158179363915
"GOT2",-1.30965151515151,9.71693483146067,-18.7837173206263,2.01888944597448e-58,5.72546640258731e-57,122.146146660489
"KLHL2",-1.01814858585858,7.64789213483146,-18.7836709347301,2.01987464160607e-58,5.72546640258731e-57,122.145660317642
"TPRKB",1.08963070707071,6.59635505617978,18.7793255583398,2.11432990790367e-58,5.98020556814663e-57,122.10010089991
"POLR2K",1.08487383838384,6.17240898876404,18.7617664462824,2.54315088133257e-58,7.17752042028037e-57,121.916013442784
"FAM149A",-1.42545585858586,5.60617752808989,-18.7470446771285,2.96896956961221e-58,8.36120825446514e-57,121.761687665279
"ORMDL2",1.06138353535354,7.40239550561798,18.7375440935962,3.28088715141722e-58,9.21971714813129e-57,121.662102162271
"CD14",-1.87952191919192,9.39856629213483,-18.7264491592634,3.68684151350382e-58,1.03382207515218e-56,121.545812082905
"CENPA",1.20956797979798,4.2356202247191,18.6971483158713,5.01689931357624e-58,1.39181596063235e-56,121.238738221762
"ITGB1BP1",1.04104484848485,6.53675280898876,18.6817065217944,5.90105052316669e-58,1.6301652070248e-56,121.07693067646
"KHDC4",1.0551706060606,7.98903595505618,18.671034594197,6.6015240696983e-58,1.81597620980582e-56,120.96511375508
"NTAQ1",1.12581777777778,4.95683370786517,18.6694257567924,6.71410144851571e-58,1.84305618499361e-56,120.948257556409
"DUSP1",-1.8720191919192,10.5569370786517,-18.6494604485034,8.28161849143196e-58,2.2685719224744e-56,120.739090551985
"GRHPR",-1.48359646464647,9.83650786516854,-18.6358892598981,9.55105606787745e-58,2.6108222236699e-56,120.596927210933
"SLC1A4",1.21542626262626,5.6043595505618,18.6241856191169,1.08009051567984e-57,2.94014618662828e-56,120.474337303871
"LAMC1",1.25098373737374,6.97205168539326,18.608526472359,1.27324891192918e-57,3.45872761721763e-56,120.310330226411
"TUFT1",1.4179997979798,5.05237528089888,18.6014011781417,1.3722203515177e-57,3.7198297637088e-56,120.235708645978
"TMPO",1.18328080808081,6.55805168539326,18.5992299854121,1.4038801946964e-57,3.79775806195984e-56,120.212970944632
"CCNE2",1.45623626262626,4.18926741573034,18.5428788950701,2.53738193801961e-57,6.82163362677066e-56,119.622953454575
"AGO2",1.14796818181818,4.58906516853933,18.5269427690887,2.99960436294349e-57,8.01472157549594e-56,119.456137227732
"PODXL",1.41138555555555,5.48467191011236,18.5240828684063,3.0910496989996e-57,8.24216708082941e-56,119.42620229186
"GPM6A",-1.07866767676768,4.48485168539326,-18.5192958834218,3.25039037790131e-57,8.64935513009289e-56,119.376097651676
"ALDH8A1",-2.27180141414142,9.5158,-18.5098966996289,3.58752953400766e-57,9.52704635314174e-56,119.277722676358
"SPINK1",4.26244616161616,7.42469213483146,18.4898417065376,4.42829387333642e-57,1.17120737960311e-55,119.067842042813
"FXYD1",-2.31965535353535,7.82703146067416,-18.4522125648526,6.57314097463574e-57,1.72796744290878e-55,118.674123550015
"NR3C2",-1.04916868686869,4.62191235955056,-18.3967817468924,1.17592125119735e-56,3.06656743887245e-55,118.094337501494
"GBA1",1.11229101010101,5.36069887640449,18.3867270393989,1.30673697028662e-56,3.39413214254327e-55,117.989194046254
"ADH1C",-3.0783798989899,10.4758112359551,-18.3811426094206,1.38557423514004e-56,3.59174999045546e-55,117.93080026077
"HAT1",1.20898161616161,6.63771011235955,18.3610849943238,1.71001572119156e-56,4.42398710091603e-55,117.721087032848
"RRAGD",1.59192959595959,4.84627640449438,18.3547621356678,1.82726044073793e-56,4.71795027461026e-55,117.654984611853
"CYFIP2",-1.70646151515152,7.51335056179775,-18.321476899256,2.5905460960918e-56,6.64923829664194e-55,117.307055354551
"UBR5",1.11860464646465,6.18737752808989,18.2967177431448,3.35836379941949e-56,8.55267687121694e-55,117.048305815535
"RAB17",-1.25829868686869,7.61742247191011,-18.2722270556632,4.34131418971338e-56,1.10129174551892e-54,116.792410310023
"ENO3",-2.16174181818182,6.65176629213483,-18.2625428188804,4.80510497495353e-56,1.21657793725085e-54,116.691236141291
"FAM50A",1.0317702020202,6.92022247191011,18.2543526346623,5.23577819709028e-56,1.32304868046241e-54,116.605676749193
"ADH6",-2.14039252525252,7.07924269662921,-18.2318874719187,6.6255432981126e-56,1.67099533973095e-54,116.371020864689
"CA5A",-1.25958919191919,5.33024269662921,-18.2276517432216,6.92622459440308e-56,1.74345641865679e-54,116.326781959263
"VRK1",1.05174232323232,5.13337528089888,18.2247894361859,7.13709382676957e-56,1.79307449724949e-54,116.296888218023
"NECAB3",1.08897696969697,5.22324269662921,18.2157703042539,7.84441920569589e-56,1.96321270677675e-54,116.202697447517
"BGN",-1.56689858585858,6.60598426966292,-18.1936846643329,9.88653394567892e-56,2.46012435339136e-54,115.972075933633
"SLC28A1",-1.15834646464647,4.96191011235955,-18.1860198707849,1.07130370953984e-55,2.66071029879809e-54,115.892048558723
"HBA2",-2.07801545454545,8.47941348314607,-18.1737419065536,1.21832440359349e-55,3.02010112137937e-54,115.763865805306
"BCHE",-2.87180161616162,8.63883820224719,-18.1726309249323,1.2325834734201e-55,3.04965007778456e-54,115.752267711382
"PCK1",-2.93115828282829,10.7756764044944,-18.1687753897949,1.28337399606144e-55,3.16331068707846e-54,115.712018657185
"TMEM38B",1.16873575757576,5.53042471910112,18.1677536213621,1.2971812356927e-55,3.19131059098058e-54,115.701352329738
"NEK7",1.02312777777778,7.55596179775281,18.1567462558359,1.45567456837656e-55,3.56107705385778e-54,115.586451119544
"UCHL5",1.29277484848485,6.13858202247191,18.1280502411959,1.96588780347205e-55,4.79125440550879e-54,115.286954191605
"CAPN3",-1.27565404040404,5.62503820224719,-18.102582008045,2.56654992589991e-55,6.24351576190465e-54,115.021204575603
"SULT1A2",-1.3509995959596,6.83429213483146,-18.0605972069248,3.98272822820308e-55,9.65256382296282e-54,114.583235380021
"KNTC1",1.16342808080808,4.57638651685393,18.0425775645963,4.80910230586649e-55,1.1633744891687e-53,114.395309110877
"GOLT1B",1.2301903030303,5.64724269662921,18.0393354250381,4.97502620773994e-55,1.19906407990242e-53,114.361500006506
"PEA15",1.22999414141414,6.12377078651685,18.0389671842219,4.99422988255226e-55,1.20147165015865e-53,114.357660042252
"SLC16A2",-1.33949333333334,6.78632808988764,-18.03607538557,5.14763399532813e-55,1.23609575810467e-53,114.327505186927
"CYP4F12",-1.27511838383838,7.20920449438202,-18.0334133321263,5.29300914863085e-55,1.26866813031246e-53,114.299746709674
"SEC14L2",-1.77828111111111,6.2069191011236,-18.0072868019795,6.95654607764814e-55,1.66128945616216e-53,114.027346882694
"MSRA",-1.43344101010101,6.97427191011236,-17.9849045921619,8.79131175661495e-55,2.0841802544455e-53,113.79403502451
"CHRD",-1.07375555555555,5.58008988764045,-17.9844923951303,8.82928832495268e-55,2.08938458201557e-53,113.789738715091
"CYP2J2",-1.64153303030303,8.21959775280899,-17.9563245066149,1.18532171139808e-54,2.78978516153783e-53,113.496183024611
"RHOB",-1.38479777777778,10.1215213483146,-17.9553738986209,1.19716060138625e-54,2.81257244711266e-53,113.486277398226
"DCXR",-1.87363171717172,10.4930853932584,-17.9351369290624,1.47920612877527e-54,3.44417298448227e-53,113.275421796118
"HBA1",-2.14149090909091,8.27831460674157,-17.9270196933934,1.61018800989834e-54,3.7424672836122e-53,113.190856341976
"ACADVL",-1.05930101010101,9.74974382022472,-17.9140858739047,1.84324807382045e-54,4.27653231931404e-53,113.056124361925
"KLHL23",1.18820808080808,5.78541573033708,17.8712011434507,2.88530499204648e-54,6.63518373744163e-53,112.609505430164
"YWHAB",1.00849292929293,7.76873033707865,17.8650868036127,3.07561623658026e-54,7.02328548314711e-53,112.5458424229
