"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GINS1",2.37476565656566,5.26786966292135,26.82100154318,4.51983075792032e-95,1.11196364627402e-92,206.295412159556
"CDHR2",-2.29094161616162,6.27623146067416,-26.7916789818614,6.1101667754155e-95,1.47537897378968e-92,205.994802296536
"ZGPAT",-2.29805444444444,8.36371235955056,-26.7498714534781,9.39269579436584e-95,2.22675200841339e-92,205.566063291573
"CLEC4M",-2.00426767676768,4.79185168539326,-26.7119655255981,1.38726626237374e-94,3.23010085626629e-92,205.17719839919
"ADRA1A",-1.95951131313131,5.09424494382022,-26.6344558419789,3.08077181167462e-94,7.04740064077639e-92,204.381647588052
"SUCO",1.69124777777778,5.99757528089888,26.5282351216166,9.202095316114e-94,2.0687262211519e-91,203.290536473529
"GMNN",2.22687585858585,7.58773483146067,26.3932899914877,3.70039452595392e-93,8.17787190235816e-91,201.902925548598
"NUP205",1.17950080808081,5.7764404494382,26.3376142605992,6.57349602734078e-93,1.42853024500827e-90,201.329960151563
"IGFALS",-2.04352787878788,5.12771011235955,-26.3201458247996,7.87257779121419e-93,1.68279576753511e-90,201.150135022037
"PER1",-1.82852636363636,6.80275056179775,-26.203825320722,2.61779231260623e-92,5.50538612323751e-90,199.952028011275
"PARP1",1.12904434343434,6.52426966292135,26.1048416012505,7.28405225520015e-92,1.5075675770723e-89,198.931581713327
"PSMD4",1.1750803030303,8.82812808988764,26.0327977462486,1.53488299953384e-91,3.12708428608152e-89,198.18834544986
"MT1M",-4.11725727272727,7.19261797752809,-25.9497333924647,3.62682298411603e-91,7.16517346816498e-89,197.330879685001
"TUBG1",1.52254949494949,5.62750112359551,25.8544230540192,9.73504027933384e-91,1.89455507764528e-88,196.346298677373
"FEN1",1.78480545454545,5.56358426966292,25.7602829992423,2.58343910892761e-90,4.95374449136869e-88,195.373080552003
"SAC3D1",1.59473929292929,5.7034606741573,25.7559520554197,2.70212551650255e-90,5.10623400140242e-88,195.328290119236
"BOLA2",1.41536747474747,6.49789887640449,25.7219050371115,3.84664065243784e-90,7.16519249530529e-88,194.976124913996
"DAP3",1.19466818181818,8.06497752808989,25.7068990603103,4.49462816799914e-90,8.25428967359729e-88,194.820881193289
"NELFE",1.3704504040404,7.37625617977528,25.6192133228993,1.11669019620671e-89,2.02229492615823e-87,193.913373992102
"F11",-2.24820555555555,7.91971685393258,-25.5520456288561,2.24318510211152e-89,4.00669733512769e-87,193.217809048806
"GPC3",4.81492828282828,7.43994157303371,25.4214142929583,8.71884731242986e-89,1.53628446090234e-86,191.864032714065
"MAN1C1",-1.58651343434343,5.10353483146067,-25.3986165142312,1.10512956911812e-88,1.92130459356415e-86,191.627637265644
"MT1G",-3.48485707070707,10.3921617977528,-25.3617760989566,1.62113683623277e-88,2.78131621153146e-86,191.245546869986
"H2AX",1.6835996969697,6.51147191011236,25.345126479153,1.92770183392502e-88,3.26432522240887e-86,191.072831577331
"SF3B4",1.4495797979798,6.44784269662921,25.331157067407,2.22924761333875e-88,3.7265589269646e-86,190.927903347568
"CAP2",2.05103121212121,5.42003370786517,25.32068423761,2.48589176517374e-88,4.10298009191144e-86,190.819241406413
"CYP2C9",-1.48058585858586,6.01495280898876,-25.3120200571436,2.72042038563587e-88,4.43394517603827e-86,190.729339060397
"DTL",2.27282424242424,5.06168988764045,25.236273608512,5.98468196538564e-88,9.63386026502017e-86,189.943130152841
"HEATR1",1.50339383838384,6.1990202247191,25.2060086748774,8.20167700647167e-88,1.30416666448029e-85,189.628876547413
"TP53BP2",1.65146141414141,6.72364494382022,25.1889404187144,9.79716090580233e-88,1.53909856687658e-85,189.451619799468
"CYP2A7",-2.7430002020202,8.65349887640449,-25.1530016406672,1.42454817353946e-87,2.21127186128345e-85,189.078319469896
"NDRG2",-1.59496494949495,8.7161797752809,-25.1385763364381,1.65555902431167e-87,2.53962754329411e-85,188.92845554011
"TUBA1B",1.34121777777778,9.94294382022472,25.0353550872788,4.85469311189525e-87,7.36050505651189e-85,187.855653422922
"ACADS",-1.25368202020202,6.09440674157303,-25.0274633137008,5.27104246354388e-87,7.89989915886767e-85,187.773600833832
"SMC4",1.90228090909091,5.79618651685393,24.8516642713029,3.29934164464882e-86,4.88864951188363e-84,185.944634803365
"CPSF6",1.31549838383838,6.64551235955056,24.8068527182557,5.26761705104795e-86,7.71735491332744e-84,185.478082512363
"ENAH",1.94631424242424,6.40995056179775,24.7846253842711,6.64386403318773e-86,9.62548256985943e-84,185.246613018441
"FYN",-1.64803757575758,7.59941348314607,-24.7679905765706,7.90448067653706e-86,1.13259915979524e-83,185.073360505675
"MT1X",-3.18779686868687,10.2902516853933,-24.7060290017217,1.51005225580719e-85,2.14017080037717e-83,184.427861729063
"UBAP2L",1.49071797979798,6.64162471910112,24.7024925143687,1.56689664604801e-85,2.19685649116344e-83,184.391011750405
"ECT2",2.06178080808081,4.47253707865169,24.6946577667747,1.7005729970325e-85,2.35891184130923e-83,184.309371174528
"PAMR1",-1.31058181818182,4.67052808988764,-24.6846941071011,1.88718300948773e-85,2.59020834323268e-83,184.205540706093
"RCL1",-2.06186898989899,7.61418651685393,-24.6419506832854,2.95006763486298e-85,4.00686790531024e-83,183.760039794345
