"","x"
"155","ENSG00000236936.1"
"156","ENSG00000142794.18"
"157","ENSG00000162551.13"
"158","ENSG00000090686.15"
"159","ENSG00000070831.15"
"160","ENSG00000271840.1"
"161","ENSG00000184677.16"
"162","ENSG00000173372.16"
"163","ENSG00000159189.11"
"164","ENSG00000173369.15"
"165","ENSG00000004487.15"
"166","ENSG00000169641.13"
"167","ENSG00000179546.4"
"168","ENSG00000261326.2"
"169","ENSG00000125944.19"
"170","ENSG00000125945.14"
"171","ENSG00000201405.1"
"172","ENSG00000204219.9"
"173","ENSG00000007968.6"
"174","ENSG00000117318.8"
"175","ENSG00000197880.8"
"176","ENSG00000142676.12"
"177","ENSG00000011007.12"
"178","ENSG00000057757.9"
"179","ENSG00000011009.10"
"180","ENSG00000188822.7"
"181","ENSG00000189266.11"
"182","ENSG00000225315.2"
"183","ENSG00000185436.11"
"184","ENSG00000001461.16"
"185","ENSG00000117602.11"
"186","ENSG00000133226.16"
"187","ENSG00000284699.1"
"188","ENSG00000169504.14"
"189","ENSG00000020633.18"
"190","ENSG00000117614.9"
"191","ENSG00000284602.1"
"192","ENSG00000284657.1"
"193","ENSG00000117616.17"
"194","ENSG00000187010.19"
"195","ENSG00000183726.10"
"196","ENSG00000157978.11"
"197","ENSG00000225643.1"
"198","ENSG00000162430.16"
"199","ENSG00000255054.3"
"200","ENSG00000117640.17"
"201","ENSG00000236528.1"
"202","ENSG00000182749.5"
"203","ENSG00000117632.22"
"204","ENSG00000142684.8"
"205","ENSG00000130695.14"
"206","ENSG00000142669.14"
"207","ENSG00000158062.20"
"208","ENSG00000169442.8"
"209","ENSG00000176083.17"
"210","ENSG00000225891.1"
"211","ENSG00000198830.10"
"212","ENSG00000117676.13"
"213","ENSG00000252802.1"
"214","ENSG00000260063.1"
"215","ENSG00000204160.11"
"216","ENSG00000090273.13"
"217","ENSG00000090020.10"
"218","ENSG00000142784.15"
"219","ENSG00000158195.10"
"220","ENSG00000000938.12"
"221","ENSG00000009780.15"
"222","ENSG00000117758.13"
"223","ENSG00000117751.17"
"224","ENSG00000117748.9"
"225","ENSG00000158161.15"
"226","ENSG00000126698.10"
"227","ENSG00000130770.17"
"228","ENSG00000270605.1"
"229","ENSG00000130772.13"
"230","ENSG00000180198.15"
"231","ENSG00000242125.3"
"232","ENSG00000274266.1"
"233","ENSG00000200087.1"
"234","ENSG00000279443.1"
"235","ENSG00000197989.13"
"236","ENSG00000221539.1"
"237","ENSG00000273544.1"
"238","ENSG00000120656.11"
"239","ENSG00000270103.3"
"240","ENSG00000274978.1"
"241","ENSG00000162419.12"
"242","ENSG00000198492.15"
"243","ENSG00000116350.16"
"244","ENSG00000237934.1"
"245","ENSG00000231949.1"
"246","ENSG00000162511.7"
"247","ENSG00000229607.1"
"248","ENSG00000223382.4"
"249","ENSG00000134644.15"
"250","ENSG00000060688.12"
"251","ENSG00000121766.15"
"252","ENSG00000229044.1"
"253","ENSG00000284543.1"
"254","ENSG00000254545.1"
"255","ENSG00000134668.12"
"256","ENSG00000269967.1"
"257","ENSG00000184007.18"
"258","ENSG00000121774.17"
"259","ENSG00000203325.3"
"260","ENSG00000121775.17"
"261","ENSG00000025800.13"
"262","ENSG00000250135.1"
"263","ENSG00000084652.15"
"264","ENSG00000224066.1"
"265","ENSG00000160055.19"
"266","ENSG00000084623.11"
"267","ENSG00000183615.5"
"268","ENSG00000182866.16"
"269","ENSG00000116478.11"
"270","ENSG00000175130.6"
"271","ENSG00000233775.1"
"272","ENSG00000225828.1"
"273","ENSG00000160058.18"
"274","ENSG00000263529.2"
"275","ENSG00000134684.10"
"276","ENSG00000116497.17"
"277","ENSG00000116514.16"
"278","ENSG00000278966.2"
"279","ENSG00000004455.16"
"280","ENSG00000142920.16"
"281","ENSG00000160094.14"
"282","ENSG00000134686.18"
"283","ENSG00000231163.5"
"284","ENSG00000230163.1"
"285","ENSG00000241014.1"
"286","ENSG00000271741.1"
"287","ENSG00000243749.1"
"288","ENSG00000163867.16"
"289","ENSG00000197056.9"
"290","ENSG00000116560.10"
"291","ENSG00000146463.11"
"292","ENSG00000227409.1"
"293","ENSG00000142687.17"
"294","ENSG00000239636.1"
"295","ENSG00000126067.11"
"296","ENSG00000142686.7"
"297","ENSG00000134698.10"
"298","ENSG00000092847.11"
"299","ENSG00000126070.19"
"300","ENSG00000271554.1"
"301","ENSG00000116863.10"
"302","ENSG00000054116.11"
"303","ENSG00000116871.15"
"304","ENSG00000054118.13"
"305","ENSG00000142694.6"
"306","ENSG00000196182.10"
"307","ENSG00000181817.5"
"308","ENSG00000116898.11"
"309","ENSG00000234481.1"
"310","ENSG00000284650.1"
"311","ENSG00000223944.1"
"312","ENSG00000233621.1"
"313","ENSG00000163875.15"
"314","ENSG00000163877.10"
"315","ENSG00000134697.12"
"316","ENSG00000196449.3"
"317","ENSG00000197982.13"
"318","ENSG00000204084.12"
"319","ENSG00000183431.11"
"320","ENSG00000183520.11"
"321","ENSG00000116954.7"
"322","ENSG00000273637.1"
"323","ENSG00000228436.2"
"324","ENSG00000214114.8"
"325","ENSG00000274944.4"
"326","ENSG00000131233.9"
"327","ENSG00000174574.15"
"328","ENSG00000127603.24"
"329","ENSG00000090621.13"
"330","ENSG00000201457.1"
"331","ENSG00000084072.16"
"332","ENSG00000043514.15"
"333","ENSG00000202222.1"
"334","ENSG00000116990.10"
"335","ENSG00000131236.16"
"336","ENSG00000188800.5"
"337","ENSG00000259943.1"
"338","ENSG00000084073.8"
"339","ENSG00000084070.11"
"340","ENSG00000260920.2"
"341","ENSG00000187815.9"
"342","ENSG00000117016.9"
"343","ENSG00000179862.6"
"344","ENSG00000171793.13"
"345","ENSG00000010803.16"
"346","ENSG00000066185.12"
"347","ENSG00000186409.14"
"348","ENSG00000065978.18"
"349","ENSG00000117385.15"
"350","ENSG00000164010.13"
"351","ENSG00000117394.20"
"352","ENSG00000227533.5"
"353","ENSG00000117395.12"
"354","ENSG00000117400.16"
"355","ENSG00000234694.1"
"356","ENSG00000117399.13"
"357","ENSG00000159479.16"
"358","ENSG00000198198.15"
"359","ENSG00000178922.16"
"360","ENSG00000236200.5"
"361","ENSG00000126091.19"
"362","ENSG00000230615.6"
"363","ENSG00000171872.4"
"364","ENSG00000283039.1"
"365","ENSG00000117419.14"
"366","ENSG00000187147.17"
"367","ENSG00000142937.11"
"368","ENSG00000264294.1"
"369","ENSG00000200913.1"
"370","ENSG00000126107.14"
"371","ENSG00000126088.13"
"372","ENSG00000070759.16"
"373","ENSG00000280670.2"
"374","ENSG00000117450.13"
"375","ENSG00000117448.13"
"376","ENSG00000132780.16"
"377","ENSG00000117461.14"
"378","ENSG00000278139.1"
"379","ENSG00000085998.13"
"380","ENSG00000085999.11"
"381","ENSG00000132128.16"
"382","ENSG00000173660.11"
"383","ENSG00000117481.10"
"384","ENSG00000079277.19"
"385","ENSG00000142961.14"
"386","ENSG00000186118.8"
"387","ENSG00000187048.12"
"388","ENSG00000186160.4"
"389","ENSG00000225506.2"
"390","ENSG00000224805.2"
"391","ENSG00000162366.7"
"392","ENSG00000162367.11"
"393","ENSG00000123473.15"
"394","ENSG00000162368.13"
"395","ENSG00000225762.1"
"396","ENSG00000237424.1"
"397","ENSG00000279096.2"
"398","ENSG00000272491.1"
"399","ENSG00000162373.12"
"400","ENSG00000284696.1"
"401","ENSG00000284645.1"
"402","ENSG00000185104.19"
"403","ENSG00000204006.8"
"404","ENSG00000123091.4"
"405","ENSG00000085831.15"
"406","ENSG00000085832.16"
"407","ENSG00000227070.1"
"408","ENSG00000078618.21"
"409","ENSG00000266993.3"
"410","ENSG00000134717.17"
"411","ENSG00000154222.14"
"412","ENSG00000134748.12"
"413","ENSG00000134744.13"
"414","ENSG00000162377.5"
"415","ENSG00000203995.9"
"416","ENSG00000121310.16"
"417","ENSG00000116171.17"
"418","ENSG00000162384.13"
"419","ENSG00000259818.1"
"420","ENSG00000162385.10"
"421","ENSG00000157193.15"
"422","ENSG00000230138.1"
"423","ENSG00000058804.11"
"424","ENSG00000116212.14"
"425","ENSG00000116209.11"
"426","ENSG00000280378.1"
"427","ENSG00000215883.10"
"428","ENSG00000116221.15"
"429","ENSG00000230728.1"
"430","ENSG00000233203.6"
"431","ENSG00000162402.13"
"432","ENSG00000234810.2"
"433","ENSG00000187889.12"
"434","ENSG00000157131.10"
"435","ENSG00000021852.12"
"436","ENSG00000226759.7"
"437","ENSG00000162600.11"
"438","ENSG00000162601.9"
"439","ENSG00000283445.1"
"440","ENSG00000177606.6"
"441","ENSG00000237352.3"
"442","ENSG00000226883.1"
"443","ENSG00000134709.10"
"444","ENSG00000162598.13"
"445","ENSG00000238242.1"
"446","ENSG00000226476.3"
"447","ENSG00000231252.2"
"448","ENSG00000162599.15"
"449","ENSG00000237928.5"
"450","ENSG00000162604.12"
"451","ENSG00000162607.12"
"452","ENSG00000116641.17"
"453","ENSG00000132855.4"
"454","ENSG00000125703.14"
"455","ENSG00000229537.6"
"456","ENSG00000203605.3"
"457","ENSG00000224209.7"
"458","ENSG00000088035.15"
"459","ENSG00000142856.16"
"460","ENSG00000203965.12"
"461","ENSG00000116652.6"
"462","ENSG00000079739.15"
"463","ENSG00000223949.6"
"464","ENSG00000158966.13"
"465","ENSG00000226891.7"
"466","ENSG00000116675.15"
"467","ENSG00000213625.8"
"468","ENSG00000116678.19"
"469","ENSG00000237852.1"
"470","ENSG00000118473.21"
"471","ENSG00000152763.16"
"472","ENSG00000198160.14"
"473","ENSG00000116704.7"
"474","ENSG00000203963.11"
"475","ENSG00000162594.15"
"476","ENSG00000142864.14"
"477","ENSG00000235200.2"
"478","ENSG00000116717.11"
"479","ENSG00000172380.5"
"480","ENSG00000066557.5"
"481","ENSG00000229051.1"
"482","ENSG00000050628.20"
"483","ENSG00000229956.10"
"484","ENSG00000172260.14"
"485","ENSG00000259030.6"
"486","ENSG00000116783.14"
"487","ENSG00000178965.13"
"488","ENSG00000234497.5"
"489","ENSG00000116791.13"
"490","ENSG00000162623.15"
"491","ENSG00000224127.1"
"492","ENSG00000224149.1"
"493","ENSG00000137968.16"
"494","ENSG00000117054.13"
"495","ENSG00000206620.1"
"496","ENSG00000207241.1"
"497","ENSG00000201487.1"
"498","ENSG00000225605.2"
"499","ENSG00000142892.14"
"500","ENSG00000233099.1"
"501","ENSG00000036549.12"
"502","ENSG00000077254.14"
"503","ENSG00000180488.14"
"504","ENSG00000235927.4"
"505","ENSG00000162614.18"
"506","ENSG00000162613.16"
"507","ENSG00000162616.8"
"508","ENSG00000137960.5"
"509","ENSG00000273338.1"
"510","ENSG00000237413.5"
"511","ENSG00000137959.15"
"512","ENSG00000162618.13"
"513","ENSG00000234184.5"
"514","ENSG00000117114.19"
"515","ENSG00000233008.5"
"516","ENSG00000137941.16"
"517","ENSG00000233061.1"
"518","ENSG00000142875.19"
"519","ENSG00000203943.8"
"520","ENSG00000117133.10"
"521","ENSG00000174021.10"
"522","ENSG00000122432.17"
"523","ENSG00000117151.12"
"524","ENSG00000180869.4"
"525","ENSG00000117155.16"
"526","ENSG00000153898.12"
"527","ENSG00000055732.12"
"528","ENSG00000142867.12"
"529","ENSG00000153904.18"
"530","ENSG00000282057.1"
"531","ENSG00000117174.10"
"532","ENSG00000171502.14"
"533","ENSG00000137975.7"
"534","ENSG00000236915.1"
"535","ENSG00000183291.15"
"536","ENSG00000153936.16"
"537","ENSG00000267561.2"
"538","ENSG00000143013.12"
"539","ENSG00000237505.6"
"540","ENSG00000065243.19"
"541","ENSG00000137947.11"
"542","ENSG00000137944.17"
"543","ENSG00000213516.9"
"544","ENSG00000117226.11"
"545","ENSG00000117228.9"
"546","ENSG00000162645.12"
"547","ENSG00000162654.8"
"548","ENSG00000154451.14"
"549","ENSG00000197147.13"
"550","ENSG00000230735.1"
"551","ENSG00000171488.14"
"552","ENSG00000271949.1"
"553","ENSG00000272931.1"
"554","ENSG00000171492.14"
"555","ENSG00000272094.1"
"556","ENSG00000162669.15"
"557","ENSG00000069702.10"
"558","ENSG00000284413.2"
"559","ENSG00000189195.11"
"560","ENSG00000174842.16"
"561","ENSG00000122484.8"
"562","ENSG00000067208.14"
"563","ENSG00000122406.12"
"564","ENSG00000206680.1"
"565","ENSG00000143033.17"
"566","ENSG00000117500.12"
"567","ENSG00000122483.17"
"568","ENSG00000223745.7"
"569","ENSG00000117505.12"
"570","ENSG00000137942.16"
"571","ENSG00000224093.5"
"572","ENSG00000067334.13"
"573","ENSG00000023909.9"
"574","ENSG00000137962.12"
"575","ENSG00000117528.11"
"576","ENSG00000223675.1"
"577","ENSG00000117519.15"
"578","ENSG00000152078.9"
"579","ENSG00000271092.5"
"580","ENSG00000231992.1"
"581","ENSG00000230434.1"
"582","ENSG00000237954.7"
"583","ENSG00000233907.1"
"584","ENSG00000228971.2"
"585","ENSG00000237435.9"
"586","ENSG00000117569.18"
"587","ENSG00000188641.12"
"588","ENSG00000232878.3"
"589","ENSG00000232542.1"
"590","ENSG00000162627.16"
"591","ENSG00000117600.12"
"592","ENSG00000099260.10"
"593","ENSG00000156869.12"
"594","ENSG00000117620.14"
"595","ENSG00000283761.1"
"596","ENSG00000156875.13"
"597","ENSG00000224616.1"
"598","ENSG00000137996.12"
"599","ENSG00000079335.18"
"600","ENSG00000162692.10"
"601","ENSG00000162695.11"
"602","ENSG00000117543.20"
"603","ENSG00000233184.6"
"604","ENSG00000225938.1"
"605","ENSG00000170989.8"
"606","ENSG00000231671.1"
"607","ENSG00000118733.16"
"608","ENSG00000185946.15"
"609","ENSG00000240038.6"
"610","ENSG00000233047.6"
"611","ENSG00000237480.2"
"612","ENSG00000134215.15"
"613","ENSG00000226822.2"
"614","ENSG00000085491.15"
"615","ENSG00000186086.18"
"616","ENSG00000162636.15"
"617","ENSG00000162639.15"
"618","ENSG00000143107.8"
"619","ENSG00000116266.10"
"620","ENSG00000274068.1"
"621","ENSG00000121940.15"
"622","ENSG00000085433.15"
"623","ENSG00000197780.9"
"624","ENSG00000270066.3"
"625","ENSG00000031698.12"
"626","ENSG00000134222.16"
"627","ENSG00000221986.6"
"628","ENSG00000134243.11"
"629","ENSG00000143106.12"
"630","ENSG00000065135.10"
"631","ENSG00000134183.11"
"632","ENSG00000168765.16"
"633","ENSG00000213366.12"
"634","ENSG00000134201.10"
"635","ENSG00000134202.10"
"636","ENSG00000261055.1"
"637","ENSG00000168710.17"
"638","ENSG00000258673.1"
"639","ENSG00000227091.1"
"640","ENSG00000162775.14"
"641","ENSG00000224699.8"
"642","ENSG00000273373.1"
"643","ENSG00000134248.13"
"644","ENSG00000143125.5"
"645","ENSG00000143105.7"
"646","ENSG00000259834.1"
"647","ENSG00000177272.8"
"648","ENSG00000261654.1"
"649","ENSG00000232811.1"
"650","ENSG00000121931.15"
"651","ENSG00000156171.14"
"652","ENSG00000273221.1"
"653","ENSG00000162777.16"
"654","ENSG00000064886.13"
"655","ENSG00000134216.18"
"656","ENSG00000085465.12"
"657","ENSG00000243960.1"
"658","ENSG00000116455.13"
"659","ENSG00000116459.10"
"660","ENSG00000143110.11"
"661","ENSG00000197852.9"
"662","ENSG00000227811.2"
"663","ENSG00000064703.11"
"664","ENSG00000171385.9"
"665","ENSG00000231246.1"
"666","ENSG00000007341.18"
"667","ENSG00000155366.16"
"668","ENSG00000155367.15"
"669","ENSG00000226419.7"
"670","ENSG00000198799.11"
"671","ENSG00000116793.15"
"672","ENSG00000081019.13"
"673","ENSG00000134242.15"
"674","ENSG00000118655.4"
"675","ENSG00000235527.6"
"676","ENSG00000163349.21"
"677","ENSG00000116774.11"
"678","ENSG00000282048.1"
"679","ENSG00000197323.11"
"680","ENSG00000116752.5"
"681","ENSG00000175984.14"
"682","ENSG00000116748.21"
"683","ENSG00000052723.11"
"684","ENSG00000134198.9"
"685","ENSG00000228035.1"
"686","ENSG00000173218.14"
"687","ENSG00000228127.2"
"688","ENSG00000163393.12"
"689","ENSG00000235933.1"
"690","ENSG00000233154.5"
"691","ENSG00000230381.2"
"692","ENSG00000224950.2"
"693","ENSG00000116815.15"
"694","ENSG00000116824.4"
"695","ENSG00000134256.12"
"696","ENSG00000116830.11"
"697","ENSG00000134258.16"
"698","ENSG00000235202.1"
"699","ENSG00000198162.12"
"700","ENSG00000065183.15"
"701","ENSG00000155761.13"
"702","ENSG00000224238.2"
"703","ENSG00000231365.5"
"704","ENSG00000227712.1"
"705","ENSG00000116882.14"
"706","ENSG00000203859.9"
"707","ENSG00000092621.12"
"708","ENSG00000134240.11"
"709","ENSG00000134249.6"
"710","ENSG00000261662.1"
"711","ENSG00000134250.19"
"712","ENSG00000273136.6"
"713","ENSG00000275538.1"
"714","ENSG00000171943.11"
"715","ENSG00000206737.1"
"716","ENSG00000234571.1"
"717","ENSG00000273213.1"
"718","ENSG00000203818.7"
"719","ENSG00000263513.5"
"720","ENSG00000277918.1"
"721","ENSG00000196369.11"
"722","ENSG00000276216.1"
"723","ENSG00000162825.16"
"724","ENSG00000117262.18"
"725","ENSG00000174827.13"
"726","ENSG00000117281.15"
"727","ENSG00000265491.4"
"728","ENSG00000186364.11"
"729","ENSG00000198483.12"
"730","ENSG00000131779.10"
"731","ENSG00000265241.6"
"732","ENSG00000280778.1"
"733","ENSG00000271601.3"
"734","ENSG00000121851.12"
"735","ENSG00000265972.5"
"736","ENSG00000168509.19"
"737","ENSG00000271425.7"
"738","ENSG00000213240.8"
"739","ENSG00000264343.5"
"740","ENSG00000273768.1"
"741","ENSG00000268043.7"
"742","ENSG00000131791.7"
"743","ENSG00000237188.3"
"744","ENSG00000273071.1"
"745","ENSG00000131781.12"
"746","ENSG00000131778.18"
"747","ENSG00000278811.4"
"748","ENSG00000265107.2"
"749","ENSG00000121634.5"
"750","ENSG00000188092.14"
"751","ENSG00000274372.4"
"752","ENSG00000263956.6"
"753","ENSG00000199879.1"
"754","ENSG00000274020.2"
"755","ENSG00000202408.2"
"756","ENSG00000274210.1"
"757","ENSG00000270629.5"
"758","ENSG00000255148.2"
"759","ENSG00000269713.7"
"760","ENSG00000274265.4"
"761","ENSG00000271383.6"
"762","ENSG00000277147.4"
"763","ENSG00000275557.1"
"764","ENSG00000206828.1"
"765","ENSG00000150337.13"
"766","ENSG00000203814.6"
"767","ENSG00000183598.3"
"768","ENSG00000270882.2"
"769","ENSG00000203811.1"
"770","ENSG00000261716.1"
"771","ENSG00000272993.1"
"772","ENSG00000203852.3"
"773","ENSG00000270276.2"
"774","ENSG00000184678.10"
"775","ENSG00000184260.5"
"776","ENSG00000184270.4"
"777","ENSG00000159164.9"
"778","ENSG00000143368.9"
"779","ENSG00000023902.13"
"780","ENSG00000143401.14"
"781","ENSG00000118298.10"
"782","ENSG00000118292.8"
"783","ENSG00000266472.5"
"784","ENSG00000143374.16"
"785","ENSG00000143369.14"
"786","ENSG00000274963.1"
"787","ENSG00000143384.12"
"788","ENSG00000143420.18"
"789","ENSG00000143457.10"
"790","ENSG00000163131.10"
"791","ENSG00000143387.12"
"792","ENSG00000143418.19"
"793","ENSG00000259357.2"
"794","ENSG00000143412.9"
"795","ENSG00000143409.15"
"796","ENSG00000143363.15"
"797","ENSG00000197622.12"
"798","ENSG00000213190.3"
"799","ENSG00000143458.11"
"800","ENSG00000163154.5"
"801","ENSG00000163156.11"
"802","ENSG00000163157.14"
"803","ENSG00000163159.12"
"804","ENSG00000143398.19"
"805","ENSG00000159352.15"
"806","ENSG00000143390.17"
"807","ENSG00000143416.20"
"808","ENSG00000159377.10"
"809","ENSG00000143376.12"
"810","ENSG00000143436.10"
"811","ENSG00000249602.1"
"812","ENSG00000196407.11"
"813","ENSG00000197747.8"
"814","ENSG00000229021.2"
"815","ENSG00000163191.5"
"816","ENSG00000159450.12"
"817","ENSG00000215853.3"
"818","ENSG00000237975.6"
"819","ENSG00000236427.1"
"820","ENSG00000198854.5"
"821","ENSG00000235942.2"
"822","ENSG00000283227.1"
"823","ENSG00000241794.1"
"824","ENSG00000229699.1"
"825","ENSG00000159527.3"
"826","ENSG00000163220.10"
"827","ENSG00000163221.8"
"828","ENSG00000143546.9"
"829","ENSG00000184330.11"
"830","ENSG00000238279.1"
"831","ENSG00000197956.9"
"832","ENSG00000196154.11"
"833","ENSG00000188643.10"
"834","ENSG00000189171.14"
"835","ENSG00000271853.5"
"836","ENSG00000272030.1"
"837","ENSG00000160679.12"
"838","ENSG00000143621.16"
"839","ENSG00000143624.13"
"840","ENSG00000279767.1"
"841","ENSG00000143554.13"
"842","ENSG00000198837.9"
"843","ENSG00000160741.16"
"844","ENSG00000143543.14"
"845","ENSG00000143545.8"
"846","ENSG00000177954.11"
"847","ENSG00000143552.9"
"848","ENSG00000143549.19"
"849","ENSG00000264384.2"
"850","ENSG00000143612.19"
"851","ENSG00000143569.18"
"852","ENSG00000201129.1"
"853","ENSG00000143575.14"
"854","ENSG00000143595.12"
"855","ENSG00000143515.16"
"856","ENSG00000238365.3"
"857","ENSG00000160712.12"
"858","ENSG00000169291.9"
"859","ENSG00000160714.9"
"860","ENSG00000233875.1"
"861","ENSG00000160710.15"
"862","ENSG00000143603.18"
"863","ENSG00000163344.5"
"864","ENSG00000163346.16"
"865","ENSG00000163348.3"
"866","ENSG00000160691.18"
"867","ENSG00000173207.12"
"868","ENSG00000160685.13"
"869","ENSG00000169241.17"
"870","ENSG00000179085.7"
"871","ENSG00000177628.15"
"872","ENSG00000160767.20"
"873","ENSG00000116521.10"
"874","ENSG00000160752.14"
"875","ENSG00000116539.12"
"876","ENSG00000227773.1"
"877","ENSG00000235919.4"
"878","ENSG00000125459.14"
"879","ENSG00000132676.15"
"880","ENSG00000116580.18"
"881","ENSG00000132718.8"
"882","ENSG00000143622.10"
"883","ENSG00000132680.10"
"884","ENSG00000207475.1"
"885","ENSG00000116584.17"
"886","ENSG00000273002.1"
"887","ENSG00000163479.13"
"888","ENSG00000116586.11"
"889","ENSG00000160789.19"
"890","ENSG00000196189.12"
"891","ENSG00000160785.13"
"892","ENSG00000198715.11"
"893","ENSG00000189030.9"
"894","ENSG00000163468.14"
"895","ENSG00000116604.17"
"896","ENSG00000260460.1"
"897","ENSG00000187862.11"
"898","ENSG00000163382.11"
"899","ENSG00000160818.16"
"900","ENSG00000132688.10"
"901","ENSG00000143319.16"
"902","ENSG00000143303.11"
"903","ENSG00000143314.12"
"904","ENSG00000143321.18"
"905","ENSG00000027869.11"
"906","ENSG00000187800.13"
"907","ENSG00000117036.11"
"908","ENSG00000271736.1"
"909","ENSG00000143297.18"
"910","ENSG00000163518.10"
"911","ENSG00000160856.20"
"912","ENSG00000132704.15"
"913","ENSG00000163534.14"
"914","ENSG00000073754.5"
"915","ENSG00000226520.1"
"916","ENSG00000158477.6"
"917","ENSG00000158485.10"
"918","ENSG00000173285.4"
"919","ENSG00000197532.2"
"920","ENSG00000186440.2"
"921","ENSG00000163554.12"
"922","ENSG00000163563.7"
"923","ENSG00000163564.14"
"924","ENSG00000163565.18"
"925","ENSG00000163568.14"
"926","ENSG00000213088.9"
"927","ENSG00000179639.10"
"928","ENSG00000196184.9"
"929","ENSG00000132703.3"
"930","ENSG00000132693.12"
"931","ENSG00000158716.8"
"932","ENSG00000181036.13"
