"","x"
"1","ENSG00000237613.2"
"2","ENSG00000186092.5"
"3","ENSG00000238009.6"
"4","ENSG00000239906.1"
"5","ENSG00000241860.6"
"6","ENSG00000236601.2"
"7","ENSG00000237491.8"
"8","ENSG00000177757.2"
"9","ENSG00000225880.5"
"10","ENSG00000188976.10"
"11","ENSG00000188290.10"
"12","ENSG00000187608.8"
"13","ENSG00000160087.20"
"14","ENSG00000230415.1"
"15","ENSG00000127054.20"
"16","ENSG00000175756.13"
"17","ENSG00000221978.11"
"18","ENSG00000224870.6"
"19","ENSG00000242485.5"
"20","ENSG00000272455.1"
"21","ENSG00000160075.11"
"22","ENSG00000215014.4"
"23","ENSG00000248333.8"
"24","ENSG00000189339.11"
"25","ENSG00000215790.6"
"26","ENSG00000008130.15"
"27","ENSG00000078369.17"
"28","ENSG00000157933.9"
"29","ENSG00000157916.19"
"30","ENSG00000157873.17"
"31","ENSG00000228037.1"
"32","ENSG00000158109.14"
"33","ENSG00000235131.1"
"34","ENSG00000130764.9"
"35","ENSG00000116198.12"
"36","ENSG00000227169.2"
"37","ENSG00000232596.2"
"38","ENSG00000284739.1"
"39","ENSG00000284674.1"
"40","ENSG00000069424.14"
"41","ENSG00000116251.9"
"42","ENSG00000097021.19"
"43","ENSG00000187017.15"
"44","ENSG00000171735.18"
"45","ENSG00000237402.1"
"46","ENSG00000270171.1"
"47","ENSG00000049247.13"
"48","ENSG00000116288.12"
"49","ENSG00000284747.1"
"50","ENSG00000227634.2"
"51","ENSG00000142599.17"
"52","ENSG00000228423.2"
"53","ENSG00000236269.1"
"54","ENSG00000049239.12"
"55","ENSG00000171621.13"
"56","ENSG00000284693.1"
"57","ENSG00000171612.6"
"58","ENSG00000171608.15"
"59","ENSG00000171603.16"
"60","ENSG00000178585.14"
"61","ENSG00000162441.11"
"62","ENSG00000162444.11"
"63","ENSG00000054523.17"
"64","ENSG00000284735.1"
"65","ENSG00000142657.20"
"66","ENSG00000160049.11"
"67","ENSG00000120948.16"
"68","ENSG00000277726.4"
"69","ENSG00000271895.2"
"70","ENSG00000116649.9"
"71","ENSG00000171824.13"
"72","ENSG00000198793.12"
"73","ENSG00000171819.4"
"74","ENSG00000284708.1"
"75","ENSG00000116663.10"
"76","ENSG00000116670.14"
"77","ENSG00000177674.15"
"78","ENSG00000011021.21"
"79","ENSG00000242349.5"
"80","ENSG00000175206.10"
"81","ENSG00000199347.1"
"82","ENSG00000116685.15"
"83","ENSG00000083444.16"
"84","ENSG00000116688.16"
"85","ENSG00000028137.18"
"86","ENSG00000048707.13"
"87","ENSG00000239149.1"
"88","ENSG00000162496.8"
"89","ENSG00000272482.1"
"90","ENSG00000204518.2"
"91","ENSG00000188984.11"
"92","ENSG00000157330.9"
"93","ENSG00000228338.1"
"94","ENSG00000243073.3"
"95","ENSG00000187545.5"
"96","ENSG00000274764.5"
"97","ENSG00000229571.7"
"98","ENSG00000204505.4"
"99","ENSG00000279169.2"
"100","ENSG00000237700.2"
"101","ENSG00000204501.7"
"102","ENSG00000204481.7"
"103","ENSG00000204479.4"
"104","ENSG00000204478.9"
"105","ENSG00000116731.22"
"106","ENSG00000234593.2"
"107","ENSG00000233485.1"
"108","ENSG00000142634.12"
"109","ENSG00000132906.17"
"110","ENSG00000116138.12"
"111","ENSG00000116771.5"
"112","ENSG00000197312.11"
"113","ENSG00000116786.11"
"114","ENSG00000233954.6"
"115","ENSG00000179743.4"
"116","ENSG00000065526.10"
"117","ENSG00000116809.11"
"118","ENSG00000233078.1"
"119","ENSG00000142627.12"
"120","ENSG00000037637.10"
"121","ENSG00000055070.16"
"122","ENSG00000157191.19"
"123","ENSG00000226029.1"
"124","ENSG00000282143.1"
"125","ENSG00000279132.2"
"126","ENSG00000238142.1"
"127","ENSG00000159363.17"
"128","ENSG00000117118.9"
"129","ENSG00000117115.12"
"130","ENSG00000159339.13"
"131","ENSG00000179051.13"
"132","ENSG00000284653.1"
"133","ENSG00000230035.2"
"134","ENSG00000127481.14"
"135","ENSG00000127463.14"
"136","ENSG00000053372.4"
"137","ENSG00000053371.12"
"138","ENSG00000077549.17"
"139","ENSG00000240490.3"
"140","ENSG00000173436.13"
"141","ENSG00000270136.5"
"142","ENSG00000169914.5"
"143","ENSG00000188784.4"
"144","ENSG00000127472.10"
"145","ENSG00000117215.14"
"146","ENSG00000158786.4"
"147","ENSG00000187980.6"
"148","ENSG00000236963.6"
"149","ENSG00000158825.5"
"150","ENSG00000158828.7"
"151","ENSG00000117242.7"
"152","ENSG00000127483.17"
"153","ENSG00000075151.20"
"154","ENSG00000117298.14"
