"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000237613.2",3.401891827726,1.68585593596377,0.614327380873087,2.74423050062952,0.00606529332817363,0.0180902532287874,"ENSG00000237613","FAM138A"
"2","ENSG00000186092.5",0.776288161348545,2.18222303669498,0.821863763443059,2.65521262009767,0.0079258434373814,0.0227646465555697,"ENSG00000186092","OR4F5"
"3","ENSG00000238009.6",10.8537278663586,0.832450436264,0.317261877901605,2.62385900811624,0.00869397662249307,0.0246378908822868,"ENSG00000238009",NA
"4","ENSG00000239906.1",2.81972974839209,1.81216812341804,0.324058715774333,5.59209808348431,2.24342019596028e-08,1.76507900279178e-07,"ENSG00000239906",""
"5","ENSG00000241860.6",6.84976452506877,2.60579617372897,0.307669246589935,8.46947233956731,2.46507143350648e-17,4.17252916955913e-16,"ENSG00000241860",""
"6","ENSG00000236601.2",1.03174038005766,2.4011216902175,0.612450671676482,3.92051442060604,8.83601480883624e-05,0.000419087815200023,"ENSG00000236601",""
"7","ENSG00000237491.8",4.74846855487095,2.01286704206951,0.357751022934503,5.62644664313937,1.83959653375953e-08,1.46152325905851e-07,"ENSG00000237491","LINC01409"
"8","ENSG00000177757.2",1.30391567838435,1.44091382805128,0.540387553473444,2.66644525542739,0.00766580902398066,0.0221085113175625,"ENSG00000177757","FAM87B"
"9","ENSG00000225880.5",7.25567830240688,1.25893496821227,0.340905609015169,3.69291362453427,0.000221699339842735,0.000967610344539421,"ENSG00000225880","LINC00115"
"10","ENSG00000188976.10",40.3109553052958,-0.58742957326732,0.150950743011199,-3.89153151252617,9.96134481869555e-05,0.000467326613720356,"ENSG00000188976","NOC2L"
"11","ENSG00000188290.10",6.87350225141558,-1.09316574885897,0.329039028711282,-3.32229812718714,0.000892792477475591,0.00338297672336952,"ENSG00000188290","HES4"
"12","ENSG00000187608.8",29.2631099671982,-1.56231582212609,0.186241103014738,-8.38867358943023,4.91657691216153e-17,8.14546354549537e-16,"ENSG00000187608","ISG15"
"13","ENSG00000160087.20",35.0173866348368,-0.367999273353136,0.136978301493433,-2.68655158766718,0.0072193799019241,0.0209940270969408,"ENSG00000160087","UBE2J2"
"14","ENSG00000230415.1",1.04275074102734,1.57681750758654,0.649132395926878,2.42911541232671,0.0151357133713034,0.0394654465048631,"ENSG00000230415","LINC01786"
"15","ENSG00000127054.20",40.9604428544708,-0.622093980152695,0.14377021897395,-4.32700168777939,1.51152803814745e-05,8.25301628576874e-05,"ENSG00000127054","INTS11"
"16","ENSG00000175756.13",64.4069871600012,-1.02890110226405,0.123019521477929,-8.36372219549437,6.07699160589659e-17,9.98644086167378e-16,"ENSG00000175756","AURKAIP1"
"17","ENSG00000221978.11",33.6732827803173,1.08340716869505,0.173325605089788,6.25070466728683,4.08604888995929e-10,3.8624295399033e-09,"ENSG00000221978","CCNL2"
"18","ENSG00000224870.6",10.2176968268661,-0.691560989655148,0.219967619507898,-3.14392177904311,0.00166699992361841,0.00589352207121952,"ENSG00000224870","MRPL20-AS1"
"19","ENSG00000242485.5",33.886119556329,-1.00628305447081,0.126623188283608,-7.94706773783767,1.90977997490087e-15,2.79747272397063e-14,"ENSG00000242485","MRPL20"
"20","ENSG00000272455.1",0.6962205207432,1.80864881597522,0.631115458805423,2.86579704353723,0.00415960828042853,0.0131361160898307,"ENSG00000272455","MRPL20-DT"
"21","ENSG00000160075.11",144.513341756312,-0.583973634223075,0.0838996532880609,-6.96038197223606,3.39351366679531e-12,3.86545569789662e-11,"ENSG00000160075","SSU72"
"22","ENSG00000215014.4",5.36149461748173,1.48045611545377,0.49076310308059,3.01664103548277,0.00255592287113632,0.00858673310208767,"ENSG00000215014","SSU72-AS1"
"23","ENSG00000248333.8",157.042858630232,-0.767249536462234,0.090591861431902,-8.46929872435591,2.46874806072518e-17,4.17701057877595e-16,"ENSG00000248333","CDK11B"
"24","ENSG00000189339.11",48.7675582993355,0.965465503411005,0.150419220872879,6.4184982331941,1.376252045049e-10,1.35917446492795e-09,"ENSG00000189339","SLC35E2B"
"25","ENSG00000215790.6",22.9830243525447,1.21894686213396,0.181672160276637,6.70959634254273,1.95163530099612e-11,2.08136828343228e-10,"ENSG00000215790","SLC35E2A"
"26","ENSG00000008130.15",114.41459351637,-0.620702601546459,0.121576356612671,-5.10545486672176,3.2999974722734e-07,2.27684680264453e-06,"ENSG00000008130","NADK"
"27","ENSG00000078369.17",746.985293005971,0.502411865452662,0.108522977845093,4.62954367295202,3.6647243155262e-06,2.2040474139459e-05,"ENSG00000078369","GNB1"
"28","ENSG00000157933.9",76.9498193800459,0.614636901035313,0.148380043235664,4.14231514988251,3.438174534019e-05,0.000176340035804689,"ENSG00000157933","SKI"
"29","ENSG00000157916.19",25.0558752902758,0.42471770028495,0.115067258624032,3.69103866176793,0.000223340183700523,0.000974143354438453,"ENSG00000157916","RER1"
"30","ENSG00000157873.17",81.2725366132433,-0.41712767688588,0.109957763164219,-3.79352639488411,0.00014852283494965,0.000672978552199852,"ENSG00000157873","TNFRSF14"
"31","ENSG00000228037.1",2.45080439539071,1.43784664057017,0.460631484316577,3.12146843957802,0.00179951535346194,0.00630544960264332,"ENSG00000228037",""
"32","ENSG00000158109.14",34.4848615885294,-0.328270143941008,0.102383331478824,-3.20628503878002,0.00134460724816368,0.00486778524821298,"ENSG00000158109","TPRG1L"
"33","ENSG00000235131.1",0.77588363113417,1.78750142718778,0.634650157249527,2.81651458960401,0.00485478379256553,0.0149783881225475,"ENSG00000235131","TP73-AS2"
"34","ENSG00000130764.9",32.2787570629695,-0.436875275962288,0.15274853527208,-2.86009469867658,0.00423514520587001,0.0133455899313923,"ENSG00000130764","LRRC47"
"35","ENSG00000116198.12",46.481905541416,0.367256616163531,0.0814768324554231,4.50749747008711,6.55967126335958e-06,3.79608007670039e-05,"ENSG00000116198","CEP104"
"36","ENSG00000227169.2",0.895077011449496,2.02788556302847,0.710866797187986,2.85269416302785,0.00433503205865902,0.0136138453586824,"ENSG00000227169",""
"37","ENSG00000232596.2",1.75520632258065,2.24296909592998,0.680622648553335,3.29546643899879,0.00098258439227963,0.00368265009073224,"ENSG00000232596","LINC01646"
"38","ENSG00000284739.1",1.06498143272618,1.55547884574549,0.616052384615163,2.52491327781674,0.0115726843393854,0.0314793765805959,"ENSG00000284739",""
"39","ENSG00000284674.1",2.15025196524542,1.84414893705957,0.643008933266105,2.86799893695472,0.00413076921299595,0.0130562157261724,"ENSG00000284674","LINC02781"
"40","ENSG00000069424.14",91.3497249487197,-0.38703687791128,0.124011523289829,-3.12097511298793,0.00180253266874497,0.00631438690121327,"ENSG00000069424","KCNAB2"
"41","ENSG00000116251.9",879.729295408027,-1.61615212864306,0.119207969794647,-13.5574167685861,7.16140055566319e-42,6.10674891920943e-40,"ENSG00000116251","RPL22"
"42","ENSG00000097021.19",47.7496406148143,1.77528145741425,0.266023589576421,6.67339862694493,2.49946257121011e-11,2.6372026453189e-10,"ENSG00000097021","ACOT7"
"43","ENSG00000187017.15",39.727141743176,-0.877533217379974,0.314475296170199,-2.79046789387565,0.00526319199192744,0.0160385107321573,"ENSG00000187017","ESPN"
"44","ENSG00000171735.18",216.731198600015,2.20151728839002,0.161567178613362,13.6260180272031,2.80471681525255e-42,2.45882193371708e-40,"ENSG00000171735","CAMTA1"
"45","ENSG00000237402.1",2.37623428706577,2.09186734918026,0.661502978707089,3.1622946782021,0.00156531076974718,0.00558067317909863,"ENSG00000237402","CAMTA1-IT1"
"46","ENSG00000270171.1",2.09431032992581,2.32265080813002,0.680326237149383,3.41402503872568,0.000640106928000411,0.00250694135541651,"ENSG00000270171",""
"47","ENSG00000049247.13",12.9592931307252,-1.56422828886029,0.258018438799206,-6.06246707072587,1.34049259212896e-09,1.20005721911148e-08,"ENSG00000049247","UTS2"
"48","ENSG00000116288.12",178.294824597903,1.31036279389132,0.133818830762934,9.79206578342236,1.21781926495602e-22,2.99039830396642e-21,"ENSG00000116288","PARK7"
"49","ENSG00000284747.1",2.08025635513743,2.08470482069336,0.54260128724996,3.84205653336941,0.000122007724080776,0.000561930502716293,"ENSG00000284747",""
"50","ENSG00000227634.2",1.45670539134663,1.80883222066068,0.773225625713243,2.3393329973928,0.0193182062247499,0.0484656647915568,"ENSG00000227634","LINC01714"
"51","ENSG00000142599.17",238.305238145636,0.233119370905253,0.063773095226179,3.65545015618996,0.000256731087911546,0.00110552884132502,"ENSG00000142599","RERE"
"52","ENSG00000228423.2",0.602045268529111,2.35380235659512,0.572396630392191,4.11218765383429,3.91927522856565e-05,0.000198903952897574,"ENSG00000228423",""
"53","ENSG00000236269.1",2.55204599771836,1.2124610081794,0.512713302075439,2.36479335190138,0.0180401338556907,0.0457884588045576,"ENSG00000236269",NA
"54","ENSG00000049239.12",23.2844962145525,0.600187156858553,0.254926218512496,2.3543563324348,0.0185548147004492,0.0468632896951796,"ENSG00000049239","H6PD"
"55","ENSG00000171621.13",12.6764165533832,1.06331096471798,0.224883945761358,4.72826533311694,2.26446143317426e-06,1.40092195660026e-05,"ENSG00000171621","SPSB1"
