Top 10 in network STRING network ranked by MCC method	
Rank,Name,Score	
1,9606.ENSP00000348838,9.3405357366E10	BUB1B
2,9606.ENSP00000361540,9.3405357362E10	CCNB1
3,9606.ENSP00000377536,9.340535736E10	CCNB2
3,9606.ENSP00000256442,9.340535736E10	CDC20
5,9606.ENSP00000355966,9.3405352323E10	ECT2
6,9606.ENSP00000300403,9.340535232E10	NEK2
6,9606.ENSP00000287598,9.340535232E10	PTTG1
8,9606.ENSP00000353770,9.340531705E10	RRM2
9,9606.ENSP00000288207,9.3405317042E10	TPX2
10,9606.ENSP00000376457,9.3405312012E10	UBE2C
