Top 10 in network STRING network ranked by EPC method	
Rank,Name,Score	
1,9606.ENSP00000438483,28.661999999999956	PBK
1,9606.ENSP00000262105,28.661999999999956	KPNA2
1,9606.ENSP00000376457,28.661999999999956	CDKN3
1,9606.ENSP00000335357,28.661999999999956	PTTG1
1,9606.ENSP00000300403,28.661999999999956	NEK2
1,9606.ENSP00000428489,28.661999999999956	ECT2
1,9606.ENSP00000377536,28.661999999999956	BUB1B
1,9606.ENSP00000355966,28.661999999999956	MCM4
1,9606.ENSP00000287598,28.661999999999956	TPX2
1,9606.ENSP00000361540,28.661999999999956	CDC20
