Top 10 in network STRING network ranked by Stress method	
Rank,Name,Score	
1,9606.ENSP00000353770,1446.0	RRM2
2,9606.ENSP00000493382,1162.0	CCNB2
3,9606.ENSP00000377192,1134.0	KPNA2
4,9606.ENSP00000320171,1048.0	G6PD
5,9606.ENSP00000264552,1026.0	PHGDH
6,9606.ENSP00000438483,960.0	NEK2
7,9606.ENSP00000355966,792.0	ECT2
8,9606.ENSP00000288207,672.0	PKM
9,9606.ENSP00000376457,434.0	UBE2S
10,9606.ENSP00000346032,394.0	ANXA2
