Top 10 in network STRING network ranked by EcCentricity method	
Rank,Name,Score	
1,9606.ENSP00000438483,0.1419753086419753	RRM2
1,9606.ENSP00000353770,0.1419753086419753	KPNA2
1,9606.ENSP00000376457,0.1419753086419753	SAE1
1,9606.ENSP00000493382,0.1419753086419753	CDKN3
5,9606.ENSP00000262105,0.11358024691358024	PHGDH
5,9606.ENSP00000346032,0.11358024691358024	ECT2
5,9606.ENSP00000270225,0.11358024691358024	MCM4
5,9606.ENSP00000358813,0.11358024691358024	PKM
5,9606.ENSP00000335357,0.11358024691358024	ANXA2
5,9606.ENSP00000320171,0.11358024691358024	TTK
