Top 10 in network STRING network ranked by Closeness method	
Rank,Name,Score	
1,9606.ENSP00000353770,29.833333333333325	RRM2
2,9606.ENSP00000438483,29.749999999999993	CCNB2
3,9606.ENSP00000355966,28.616666666666664	KPNA2
4,9606.ENSP00000361540,28.61666666666666	PTTG1
5,9606.ENSP00000348838,28.283333333333328	NEK2
6,9606.ENSP00000288207,28.033333333333328	ECT2
7,9606.ENSP00000376457,27.999999999999993	TPX2
8,9606.ENSP00000377536,27.783333333333328	UBE2C
8,9606.ENSP00000256442,27.783333333333328	CDC20
10,9606.ENSP00000300403,27.283333333333328	CCNB1
