#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0010965	Regulation of mitotic sister chromatid separation	6	96	1.77	2.21	1.10e-06	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000348838,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377536	CCNB1,BUB1B,UBE2C,TTK,CDC20,PTTG1
GO:0033045	Regulation of sister chromatid segregation	6	105	1.73	2.12	1.70e-06	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000348838,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377536	CCNB1,BUB1B,UBE2C,TTK,CDC20,PTTG1
GO:0060255	Regulation of macromolecule metabolic process	20	6249	0.48	0.49	1.79e-06	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,SAE1,BUB1B,CCNB2,TPX2,PKM,CDKN3,ANXA2,UBE2C,NEK2,TTK,CDC20,ECT2,G6PD,PTTG1,PBK,KPNA2,PHGDH
GO:0033047	Regulation of mitotic sister chromatid segregation	5	55	1.93	2.15	4.23e-06	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377536	CCNB1,BUB1B,TTK,CDC20,PTTG1
GO:0033044	Regulation of chromosome organization	7	253	1.41	1.65	5.53e-06	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377536	CCNB1,BUB1B,UBE2C,NEK2,TTK,CDC20,PTTG1
GO:0051171	Regulation of nitrogen compound metabolic process	19	5734	0.49	0.5	6.07e-06	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483	CCNB1,MCM4,UBE2S,SAE1,BUB1B,CCNB2,TPX2,PKM,CDKN3,ANXA2,UBE2C,NEK2,TTK,CDC20,ECT2,G6PD,PTTG1,PBK,KPNA2
GO:0051338	Regulation of transferase activity	10	912	1.01	1.1	7.83e-06	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000335357,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000361540,9606.ENSP00000376457	CCNB1,UBE2S,BUB1B,CCNB2,TPX2,CDKN3,UBE2C,NEK2,CDC20,ECT2
GO:0080090	Regulation of primary metabolic process	19	5899	0.48	0.48	8.79e-06	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483	CCNB1,MCM4,UBE2S,SAE1,BUB1B,CCNB2,TPX2,PKM,CDKN3,ANXA2,UBE2C,NEK2,TTK,CDC20,ECT2,G6PD,PTTG1,PBK,KPNA2
GO:0007051	Spindle organization	6	160	1.55	1.72	1.08e-05	9606.ENSP00000256442,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540	CCNB1,CCNB2,TPX2,NEK2,TTK,CDC20
GO:0007346	Regulation of mitotic cell cycle	8	493	1.18	1.28	1.63e-05	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000428489	CCNB1,BUB1B,UBE2C,RRM2,NEK2,TTK,CDC20,PBK
GO:0044772	Mitotic cell cycle phase transition	6	173	1.51	1.64	1.63e-05	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000335357,9606.ENSP00000348838	CCNB1,UBE2S,BUB1B,CCNB2,CDKN3,UBE2C
GO:0140014	Mitotic nuclear division	6	175	1.51	1.64	1.63e-05	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000300403,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000361540	CCNB1,UBE2S,TPX2,UBE2C,NEK2,CDC20
GO:0030071	Regulation of mitotic metaphase/anaphase transition	5	91	1.71	1.74	2.64e-05	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000348838,9606.ENSP00000358813,9606.ENSP00000361540	CCNB1,BUB1B,UBE2C,TTK,CDC20
GO:0007052	Mitotic spindle organization	5	97	1.68	1.69	3.34e-05	9606.ENSP00000256442,9606.ENSP00000300403,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540	CCNB1,TPX2,NEK2,TTK,CDC20
