#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0044237	Cellular metabolic process	17	6568	0.39	0.35	0.0024	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,BUB1B,PKM,CDKN3,ANXA2,UBE2C,RRM2,NEK2,TTK,CDC20,G6PD,PTTG1,PBK,KPNA2,PHGDH
GO:0006807	Nitrogen compound metabolic process	17	6643	0.38	0.34	0.0028	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,SAE1,PKM,CDKN3,ANXA2,UBE2C,RRM2,NEK2,TTK,CDC20,G6PD,PTTG1,PBK,KPNA2,PHGDH
GO:1903322	Positive regulation of protein modification by small protein conjugation or removal	4	140	1.43	0.94	0.0033	9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000348838,9606.ENSP00000361540	UBE2S,SAE1,UBE2C,CDC20
GO:0000819	Sister chromatid segregation	4	144	1.42	0.92	0.0036	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000355966,9606.ENSP00000361540	CCNB1,BUB1B,NEK2,CDC20
GO:0050789	Regulation of biological process	21	11655	0.23	0.26	0.0036	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,SAE1,BUB1B,CCNB2,TPX2,PKM,CDKN3,ANXA2,UBE2C,RRM2,NEK2,TTK,CDC20,ECT2,G6PD,PTTG1,PBK,KPNA2,PHGDH
GO:0090307	Mitotic spindle assembly	3	51	1.74	0.96	0.0051	9606.ENSP00000300403,9606.ENSP00000355966,9606.ENSP00000361540	TPX2,NEK2,CDC20
GO:0008152	Metabolic process	18	7988	0.33	0.3	0.0056	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000287598,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,SAE1,BUB1B,PKM,CDKN3,ANXA2,UBE2C,RRM2,NEK2,TTK,CDC20,G6PD,PTTG1,PBK,KPNA2,PHGDH
GO:0010639	Negative regulation of organelle organization	5	351	1.13	0.74	0.0059	9606.ENSP00000287598,9606.ENSP00000300403,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377536	BUB1B,TPX2,TTK,CDC20,PTTG1
GO:0140013	Meiotic nuclear division	4	171	1.34	0.82	0.0062	9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000358813,9606.ENSP00000377536	BUB1B,CCNB2,TTK,PTTG1
GO:0010994	Free ubiquitin chain polymerization	2	7	2.43	0.96	0.0072	9606.ENSP00000264552,9606.ENSP00000348838	UBE2S,UBE2C
GO:0016043	Cellular component organization	15	5436	0.41	0.34	0.0072	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377536,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,BUB1B,CCNB2,TPX2,ANXA2,UBE2C,RRM2,NEK2,TTK,CDC20,ECT2,PTTG1,PHGDH
GO:0044238	Primary metabolic process	17	7156	0.35	0.31	0.0072	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,SAE1,PKM,CDKN3,ANXA2,UBE2C,RRM2,NEK2,TTK,CDC20,G6PD,PTTG1,PBK,KPNA2,PHGDH
GO:0006996	Organelle organization	12	3470	0.51	0.38	0.0099	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377536	CCNB1,MCM4,UBE2S,BUB1B,CCNB2,TPX2,ANXA2,UBE2C,NEK2,TTK,CDC20,PTTG1
GO:0006796	Phosphate-containing compound metabolic process	9	1877	0.65	0.45	0.0116	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000377192,9606.ENSP00000428489	CCNB1,BUB1B,PKM,CDKN3,RRM2,NEK2,TTK,G6PD,PBK
GO:0051129	Negative regulation of cellular component organization	6	691	0.91	0.57	0.0116	9606.ENSP00000287598,9606.ENSP00000300403,9606.ENSP00000346032,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377536	BUB1B,TPX2,ANXA2,TTK,CDC20,PTTG1
GO:0031396	Regulation of protein ubiquitination	4	212	1.25	0.7	0.0123	9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000348838,9606.ENSP00000361540	UBE2S,BUB1B,UBE2C,CDC20
GO:0071704	Organic substance metabolic process	17	7522	0.33	0.29	0.0132	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377192,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483,9606.ENSP00000493382	CCNB1,MCM4,UBE2S,SAE1,PKM,CDKN3,ANXA2,UBE2C,RRM2,NEK2,TTK,CDC20,G6PD,PTTG1,PBK,KPNA2,PHGDH
GO:0043170	Macromolecule metabolic process	15	5781	0.39	0.31	0.0137	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000377536,9606.ENSP00000428489,9606.ENSP00000438483	CCNB1,MCM4,UBE2S,SAE1,PKM,CDKN3,ANXA2,UBE2C,RRM2,NEK2,TTK,CDC20,PTTG1,PBK,KPNA2
GO:0001932	Regulation of protein phosphorylation	7	1108	0.77	0.48	0.0171	9606.ENSP00000256442,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000335357,9606.ENSP00000358813,9606.ENSP00000376457,9606.ENSP00000428489	CCNB1,CCNB2,TPX2,CDKN3,TTK,ECT2,PBK
GO:0010458	Exit from mitosis	2	14	2.13	0.75	0.0208	9606.ENSP00000264552,9606.ENSP00000348838	UBE2S,UBE2C
GO:0051173	Positive regulation of nitrogen compound metabolic process	11	3166	0.51	0.35	0.0216	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000300403,9606.ENSP00000320171,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457	CCNB1,UBE2S,SAE1,TPX2,PKM,ANXA2,UBE2C,NEK2,TTK,CDC20,ECT2
GO:1901992	Positive regulation of mitotic cell cycle phase transition	3	92	1.49	0.68	0.0216	9606.ENSP00000256442,9606.ENSP00000348838,9606.ENSP00000353770	CCNB1,UBE2C,RRM2
GO:0044093	Positive regulation of molecular function	8	1587	0.67	0.42	0.0220	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000300403,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000361540,9606.ENSP00000376457	CCNB1,UBE2S,TPX2,ANXA2,UBE2C,NEK2,CDC20,ECT2
GO:0045132	Meiotic chromosome segregation	3	98	1.46	0.65	0.0249	9606.ENSP00000287598,9606.ENSP00000358813,9606.ENSP00000377536	BUB1B,TTK,PTTG1
GO:0051258	Protein polymerization	3	101	1.45	0.64	0.0267	9606.ENSP00000264552,9606.ENSP00000300403,9606.ENSP00000348838	UBE2S,TPX2,UBE2C
GO:0036211	Protein modification process	10	2674	0.55	0.36	0.0269	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000428489	CCNB1,UBE2S,SAE1,PKM,CDKN3,UBE2C,NEK2,TTK,CDC20,PBK
GO:0048518	Positive regulation of biological process	15	6207	0.36	0.28	0.0300	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000300403,9606.ENSP00000320171,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000353770,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377192,9606.ENSP00000428489,9606.ENSP00000438483	CCNB1,UBE2S,SAE1,TPX2,PKM,ANXA2,UBE2C,RRM2,NEK2,TTK,CDC20,ECT2,G6PD,PBK,KPNA2
GO:0000079	Regulation of cyclin-dependent protein serine/threonine kinase activity	3	111	1.4	0.59	0.0337	9606.ENSP00000256442,9606.ENSP00000288207,9606.ENSP00000335357	CCNB1,CCNB2,CDKN3
GO:0000070	Mitotic sister chromatid segregation	3	122	1.36	0.55	0.0422	9606.ENSP00000256442,9606.ENSP00000355966,9606.ENSP00000361540	CCNB1,NEK2,CDC20
GO:0051444	Negative regulation of ubiquitin-protein transferase activity	2	23	1.91	0.6	0.0439	9606.ENSP00000287598,9606.ENSP00000361540	BUB1B,CDC20
GO:0031323	Regulation of cellular metabolic process	14	5681	0.36	0.26	0.0484	9606.ENSP00000256442,9606.ENSP00000262105,9606.ENSP00000288207,9606.ENSP00000300403,9606.ENSP00000320171,9606.ENSP00000335357,9606.ENSP00000346032,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457,9606.ENSP00000377192,9606.ENSP00000428489,9606.ENSP00000438483	CCNB1,MCM4,CCNB2,TPX2,PKM,CDKN3,ANXA2,NEK2,TTK,CDC20,ECT2,G6PD,PBK,KPNA2
GO:0010604	Positive regulation of macromolecule metabolic process	11	3533	0.47	0.3	0.0488	9606.ENSP00000256442,9606.ENSP00000264552,9606.ENSP00000270225,9606.ENSP00000300403,9606.ENSP00000320171,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000355966,9606.ENSP00000358813,9606.ENSP00000361540,9606.ENSP00000376457	CCNB1,UBE2S,SAE1,TPX2,PKM,ANXA2,UBE2C,NEK2,TTK,CDC20,ECT2
